Date,City,Latitude,Longitude,City_Type,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,Pressure,AQI,Year,Month,Day,DayOfWeek,Season
2024-01-01,Delhi,28.6139,77.209,metropolitan,124.74,267.28,49.57,23.33,2.51,42.85,17.4,64.3,20.4,1006.4,251,2024,1,1,0,Winter
2024-01-01,Mumbai,19.076,72.8777,coastal,115.33,161.96,62.57,20.74,2.43,36.86,25.0,84.7,22.7,1004.4,184,2024,1,1,0,Winter
2024-01-01,Bengaluru,12.9716,77.5946,IT_hub,94.54,199.18,56.49,17.7,1.58,55.64,17.9,50.0,7.1,1018.8,200,2024,1,1,0,Winter
2024-01-01,Chennai,13.0827,80.2707,coastal,86.41,190.83,70.0,20.54,2.36,59.19,24.1,63.5,11.7,1002.6,189,2024,1,1,0,Winter
2024-01-01,Kolkata,22.5726,88.3639,metropolitan,164.89,294.61,61.8,18.79,2.81,72.78,20.1,67.8,19.1,1008.7,274,2024,1,1,0,Winter
2024-01-01,Hyderabad,17.385,78.4867,mixed,122.1,162.12,59.36,12.65,1.98,43.97,22.8,67.6,16.5,1008.2,190,2024,1,1,0,Winter
2024-01-01,Pune,18.5204,73.8567,mixed,107.74,169.27,46.55,10.14,1.53,35.93,18.6,60.2,19.0,1013.2,170,2024,1,1,0,Winter
2024-01-01,Ahmedabad,23.0225,72.5714,industrial,159.7,191.82,71.26,15.89,2.92,70.08,22.6,49.9,14.9,1015.0,252,2024,1,1,0,Winter
2024-01-01,Jaipur,26.9124,75.7873,desert,91.38,206.26,61.7,18.17,2.8,58.17,21.1,57.1,18.4,1019.5,186,2024,1,1,0,Winter
2024-01-01,Lucknow,26.8467,80.9462,plains,154.95,321.56,60.53,28.55,3.73,50.84,17.3,70.7,10.3,1014.2,298,2024,1,1,0,Winter
2024-01-02,Delhi,28.6139,77.209,metropolitan,134.5,250.07,57.88,19.33,2.71,40.32,21.1,60.5,21.6,1017.6,233,2024,1,2,1,Winter
2024-01-02,Mumbai,19.076,72.8777,coastal,118.5,247.34,73.22,25.35,2.93,49.31,25.1,87.8,6.1,1000.0,247,2024,1,2,1,Winter
2024-01-02,Bengaluru,12.9716,77.5946,IT_hub,87.41,123.37,46.49,12.18,1.16,36.85,18.2,64.5,23.2,1015.6,140,2024,1,2,1,Winter
2024-01-02,Chennai,13.0827,80.2707,coastal,139.64,197.44,69.2,14.75,2.44,64.35,23.9,83.5,18.8,1001.9,216,2024,1,2,1,Winter
2024-01-02,Kolkata,22.5726,88.3639,metropolitan,123.05,305.22,73.31,19.21,2.5,59.53,20.8,66.9,16.2,1016.4,287,2024,1,2,1,Winter
2024-01-02,Hyderabad,17.385,78.4867,mixed,69.4,188.95,36.78,11.43,1.99,37.6,19.6,71.6,23.0,1009.0,207,2024,1,2,1,Winter
2024-01-02,Pune,18.5204,73.8567,mixed,79.61,141.38,51.38,10.46,1.54,49.67,19.6,56.7,14.8,1007.8,149,2024,1,2,1,Winter
2024-01-02,Ahmedabad,23.0225,72.5714,industrial,84.54,163.85,43.17,13.83,2.75,53.68,21.5,59.6,20.5,1003.2,167,2024,1,2,1,Winter
2024-01-02,Jaipur,26.9124,75.7873,desert,117.53,234.76,48.26,18.66,2.81,54.24,18.6,58.3,17.0,1007.4,258,2024,1,2,1,Winter
2024-01-02,Lucknow,26.8467,80.9462,plains,151.0,267.38,72.37,21.05,3.22,50.12,21.5,75.7,5.2,1011.9,276,2024,1,2,1,Winter
2024-01-03,Delhi,28.6139,77.209,metropolitan,155.49,287.52,70.64,24.37,2.92,42.33,21.1,51.1,21.2,1018.9,286,2024,1,3,2,Winter
2024-01-03,Mumbai,19.076,72.8777,coastal,161.19,219.5,80.79,20.61,2.85,68.16,23.1,89.4,14.0,1014.9,257,2024,1,3,2,Winter
2024-01-03,Bengaluru,12.9716,77.5946,IT_hub,75.72,151.41,43.58,11.65,1.52,31.59,20.9,50.0,22.5,1015.8,166,2024,1,3,2,Winter
2024-01-03,Chennai,13.0827,80.2707,coastal,104.0,194.11,64.97,18.16,2.49,64.8,24.6,80.2,14.9,1008.8,202,2024,1,3,2,Winter
2024-01-03,Kolkata,22.5726,88.3639,metropolitan,139.55,242.92,45.47,21.72,2.53,51.88,22.5,85.0,21.9,1019.8,220,2024,1,3,2,Winter
2024-01-03,Hyderabad,17.385,78.4867,mixed,120.19,174.99,62.51,16.22,2.36,55.77,23.2,60.9,11.8,1015.9,181,2024,1,3,2,Winter
2024-01-03,Pune,18.5204,73.8567,mixed,107.05,173.0,57.29,11.32,1.7,44.47,17.0,60.6,7.9,1008.3,183,2024,1,3,2,Winter
2024-01-03,Ahmedabad,23.0225,72.5714,industrial,141.47,256.62,72.29,21.31,3.05,53.26,24.1,59.1,17.0,1009.4,261,2024,1,3,2,Winter
2024-01-03,Jaipur,26.9124,75.7873,desert,127.08,239.56,58.14,22.6,2.67,55.62,24.0,51.9,16.1,1018.4,222,2024,1,3,2,Winter
2024-01-03,Lucknow,26.8467,80.9462,plains,159.44,311.14,66.58,26.17,3.4,63.96,21.7,60.9,10.3,1010.2,300,2024,1,3,2,Winter
2024-01-04,Delhi,28.6139,77.209,metropolitan,184.32,263.15,74.13,22.9,3.76,59.44,20.6,66.3,13.8,1001.7,312,2024,1,4,3,Winter
2024-01-04,Mumbai,19.076,72.8777,coastal,105.93,216.88,57.07,26.13,2.59,44.79,22.0,60.7,10.4,1003.3,226,2024,1,4,3,Winter
2024-01-04,Bengaluru,12.9716,77.5946,IT_hub,106.5,169.88,49.19,15.5,2.02,43.33,17.9,57.0,5.6,1000.3,195,2024,1,4,3,Winter
2024-01-04,Chennai,13.0827,80.2707,coastal,112.26,236.1,54.7,15.85,2.35,48.61,26.6,64.5,19.6,1008.3,252,2024,1,4,3,Winter
2024-01-04,Kolkata,22.5726,88.3639,metropolitan,168.44,307.18,89.39,26.59,2.34,67.49,21.6,75.0,8.3,1009.2,287,2024,1,4,3,Winter
2024-01-04,Hyderabad,17.385,78.4867,mixed,117.13,152.82,65.25,13.98,2.47,43.08,19.6,70.8,14.1,1011.9,182,2024,1,4,3,Winter
2024-01-04,Pune,18.5204,73.8567,mixed,97.25,194.25,38.9,12.99,1.33,42.56,20.6,72.1,7.0,1009.3,202,2024,1,4,3,Winter
2024-01-04,Ahmedabad,23.0225,72.5714,industrial,109.37,283.72,61.21,16.51,2.98,65.89,20.8,57.7,5.9,1009.7,311,2024,1,4,3,Winter
2024-01-04,Jaipur,26.9124,75.7873,desert,132.91,245.46,69.09,21.02,2.21,41.52,23.7,38.7,8.0,1011.8,229,2024,1,4,3,Winter
2024-01-04,Lucknow,26.8467,80.9462,plains,167.02,222.42,84.5,27.46,3.53,59.49,22.8,66.8,11.9,1016.2,300,2024,1,4,3,Winter
2024-01-05,Delhi,28.6139,77.209,metropolitan,160.79,307.84,54.85,17.97,1.98,40.04,21.3,51.2,21.6,1006.1,283,2024,1,5,4,Winter
2024-01-05,Mumbai,19.076,72.8777,coastal,116.63,256.3,59.38,21.28,2.97,64.5,21.3,66.2,7.4,1012.1,242,2024,1,5,4,Winter
2024-01-05,Bengaluru,12.9716,77.5946,IT_hub,78.11,186.3,58.68,11.31,1.94,44.63,17.2,62.6,10.8,1014.7,195,2024,1,5,4,Winter
2024-01-05,Chennai,13.0827,80.2707,coastal,88.84,216.29,50.43,15.54,1.93,63.82,21.6,72.6,15.5,1003.7,211,2024,1,5,4,Winter
2024-01-05,Kolkata,22.5726,88.3639,metropolitan,165.01,229.57,66.68,18.82,3.0,57.0,23.9,85.5,13.4,1008.1,255,2024,1,5,4,Winter
2024-01-05,Hyderabad,17.385,78.4867,mixed,84.57,182.53,49.16,15.32,1.68,48.37,18.1,67.4,10.2,1007.8,184,2024,1,5,4,Winter
2024-01-05,Pune,18.5204,73.8567,mixed,63.76,100.85,31.26,10.87,1.07,33.97,16.9,68.8,23.5,1008.0,96,2024,1,5,4,Winter
2024-01-05,Ahmedabad,23.0225,72.5714,industrial,107.99,268.31,67.13,24.85,2.13,48.94,20.1,42.8,6.2,1019.0,263,2024,1,5,4,Winter
2024-01-05,Jaipur,26.9124,75.7873,desert,127.88,215.95,65.7,19.52,2.22,50.61,18.9,41.5,6.6,1018.1,236,2024,1,5,4,Winter
2024-01-05,Lucknow,26.8467,80.9462,plains,146.92,333.43,65.49,20.42,2.52,53.24,19.9,66.0,6.6,1006.7,332,2024,1,5,4,Winter
2024-01-06,Delhi,28.6139,77.209,metropolitan,171.02,239.93,66.01,26.99,2.71,49.06,20.9,66.5,10.3,1009.3,267,2024,1,6,5,Winter
2024-01-06,Mumbai,19.076,72.8777,coastal,116.0,261.46,68.5,18.28,2.87,59.78,22.9,68.4,16.7,1018.0,287,2024,1,6,5,Winter
2024-01-06,Bengaluru,12.9716,77.5946,IT_hub,68.4,141.56,35.54,10.58,1.64,35.53,18.2,59.4,6.1,1009.6,152,2024,1,6,5,Winter
2024-01-06,Chennai,13.0827,80.2707,coastal,96.07,197.11,52.02,17.03,1.68,44.64,26.3,79.7,19.8,1004.0,205,2024,1,6,5,Winter
2024-01-06,Kolkata,22.5726,88.3639,metropolitan,108.26,212.78,63.06,16.13,2.97,56.44,21.4,81.3,5.7,1005.2,193,2024,1,6,5,Winter
2024-01-06,Hyderabad,17.385,78.4867,mixed,77.19,160.16,42.93,9.56,1.48,31.92,19.7,56.3,20.3,1009.8,147,2024,1,6,5,Winter
2024-01-06,Pune,18.5204,73.8567,mixed,66.31,139.03,47.85,11.94,1.32,41.96,20.1,59.3,5.3,1007.3,141,2024,1,6,5,Winter
2024-01-06,Ahmedabad,23.0225,72.5714,industrial,101.49,225.99,61.52,22.52,2.58,52.17,23.5,43.9,8.8,1006.0,222,2024,1,6,5,Winter
2024-01-06,Jaipur,26.9124,75.7873,desert,96.93,192.06,59.08,15.28,2.31,58.83,18.6,48.7,10.5,1015.8,183,2024,1,6,5,Winter
2024-01-06,Lucknow,26.8467,80.9462,plains,162.6,247.45,67.1,22.44,2.31,57.08,20.5,49.1,12.4,1007.4,248,2024,1,6,5,Winter
2024-01-07,Delhi,28.6139,77.209,metropolitan,125.72,270.03,51.68,25.32,2.77,37.85,17.4,54.0,5.6,1012.7,260,2024,1,7,6,Winter
